source,benchmark,category,model_type,device,kernel_count,peak_performance_tflops,median_performance_tflops,median_arithmetic_intensity,median_xtime_ns,coverage_rank
"all-pairs-distance-omp","all-pairs-distance","Bioinformatics","omp","A100",2,0.074431,0.037216,11.4305,300864.0,33.0
"all-pairs-distance-omp","all-pairs-distance","Bioinformatics","omp","H100",2,0.001489,0.001284,0.1973,159994.5,34.0
"amgmk-cuda","amgmk","Simulation","cuda","3080",1,0.080099,0.080099,0.145392,44885.0,30.0
"amgmk-cuda","amgmk","Simulation","cuda","A10",1,0.05565,0.05565,0.121505,64597.0,30.0
"amgmk-cuda","amgmk","Simulation","cuda","A100",1,0.289888,0.289888,0.358207,15851.0,30.0
"amgmk-cuda","amgmk","Simulation","cuda","H100",1,0.409037,0.409037,0.28015,8789.0,29.0
"amgmk-omp","amgmk","Simulation","omp","3080",1,0.125215,0.125215,0.359849,43424.0,20.0
"amgmk-omp","amgmk","Simulation","omp","A10",1,0.081039,0.081039,0.292147,67072.0,20.0
"amgmk-omp","amgmk","Simulation","omp","A100",1,0.260494,0.260494,0.462429,22795.0,26.0
"amgmk-omp","amgmk","Simulation","omp","H100",1,0.463161,0.463161,0.424631,11765.0,22.0
"ans-cuda","ans","Data encoding, decoding, or verification","cuda","3080",5,0.0,0.0,0.0,183339.0,36.0
"ans-cuda","ans","Data encoding, decoding, or verification","cuda","A10",5,0.0,0.0,0.0,288213.0,36.0
"ans-cuda","ans","Data encoding, decoding, or verification","cuda","A100",5,0.428648,0.026558,0.499826,175221.0,28.0
"ans-cuda","ans","Data encoding, decoding, or verification","cuda","H100",5,0.096145,0.059269,0.46987,92864.0,37.0
"aobench-cuda","aobench","Computer vision and image processing","cuda","3080",1,3.894558,3.894558,12419.834513,161237.0,4.0
"aobench-cuda","aobench","Computer vision and image processing","cuda","A10",1,2.384556,2.384556,33449.453364,263339.0,4.0
"aobench-cuda","aobench","Computer vision and image processing","cuda","A100",1,4.299448,4.299448,67422.159309,155232.0,7.0
"aobench-cuda","aobench","Computer vision and image processing","cuda","H100",1,6.662552,6.662552,65825.750468,100331.0,8.0
"aobench-omp","aobench","Computer vision and image processing","omp","3080",1,2.414662,2.414662,19008.753661,355360.0,7.0
"aobench-omp","aobench","Computer vision and image processing","omp","A10",1,1.500388,1.500388,12203.342644,571904.0,7.0
"aobench-omp","aobench","Computer vision and image processing","omp","A100",1,2.101713,2.101713,15334.513235,445163.0,10.0
"aobench-omp","aobench","Computer vision and image processing","omp","H100",1,5.896186,5.896186,21408.594507,158635.0,6.0
"aop-cuda","aop","Finance","cuda","3080",7,0.30506,0.05571,1.935905,43264.0,19.0
"aop-cuda","aop","Finance","cuda","A10",7,0.18753,0.034898,1.74199,69013.0,21.0
"aop-cuda","aop","Finance","cuda","A100",7,2.643715,0.177436,2.094652,30443.0,11.0
"aop-cuda","aop","Finance","cuda","H100",7,5.440587,0.250687,2.123835,21621.0,10.0
"aop-omp","aop","Finance","omp","3080",4,0.305065,0.042854,1.330369,1284869.5,16.0
"aop-omp","aop","Finance","omp","A10",4,0.187511,0.027538,1.15213,2076984.0,17.0
"aop-omp","aop","Finance","omp","A100",4,2.581618,0.109135,1.49887,331554.5,8.0
"aop-omp","aop","Finance","omp","H100",4,4.025067,0.112919,1.38514,201896.0,9.0
"asmooth-cuda","asmooth","Computer vision and image processing","cuda","3080",3,0.343829,0.301748,0.832925,3312629.0,18.0
"asmooth-cuda","asmooth","Computer vision and image processing","cuda","A10",3,0.217982,0.202044,0.678359,4947435.0,18.0
"asmooth-cuda","asmooth","Computer vision and image processing","cuda","A100",3,1.114961,0.942766,2.179403,2761472.0,20.0
"asmooth-cuda","asmooth","Computer vision and image processing","cuda","H100",3,1.284378,0.714837,0.83802,1398368.0,21.0
"asmooth-omp","asmooth","Computer vision and image processing","omp","3080",2,0.435672,0.294872,1.06243,6721035.0,13.0
"asmooth-omp","asmooth","Computer vision and image processing","omp","A10",2,0.279019,0.190071,0.835874,10322944.0,13.0
"asmooth-omp","asmooth","Computer vision and image processing","omp","A100",2,0.584991,0.539788,2.49284,7280059.0,19.0
"asmooth-omp","asmooth","Computer vision and image processing","omp","H100",2,0.701312,0.483486,1.242741,4740709.5,19.0
"assert-cuda","assert","algorithms","cuda","3080",3,0.0,0.0,0.0,2485.0,36.0
"assert-cuda","assert","algorithms","cuda","A10",3,0.0,0.0,0.0,3851.0,36.0
"assert-cuda","assert","algorithms","cuda","A100",3,0.0,0.0,0.0,2944.0,49.0
"assert-cuda","assert","algorithms","cuda","H100",3,0.0,0.0,0.0,2891.0,45.0
"assert-omp","assert","algorithms","omp","3080",2,0.0,0.0,0.0,2874.5,27.0
"assert-omp","assert","algorithms","omp","A10",2,0.0,0.0,0.0,4587.0,27.0
"assert-omp","assert","algorithms","omp","A100",2,0.0,0.0,0.0,3328.0,38.0
"assert-omp","assert","algorithms","omp","H100",2,0.00122,0.00061,0.557338,2923.0,35.0
"asta-cuda","asta","Language and kernel features","cuda","3080",1,0.0,0.0,0.0,18303627.0,36.0
"asta-cuda","asta","Language and kernel features","cuda","A10",1,0.0,0.0,0.0,29119179.0,36.0
"asta-cuda","asta","Language and kernel features","cuda","A100",1,0.002306,0.002306,1.124487,24838624.0,45.0
"asta-cuda","asta","Language and kernel features","cuda","H100",1,9.6e-05,9.6e-05,0.044853,19065109.0,44.0
"asta-omp","asta","Language and kernel features","omp","3080",1,0.0,0.0,0.0,18801109.0,27.0
"asta-omp","asta","Language and kernel features","omp","A10",1,0.0,0.0,0.0,30077067.0,27.0
"asta-omp","asta","Language and kernel features","omp","A100",1,0.002234,0.002234,1.100352,25265525.0,37.0
"asta-omp","asta","Language and kernel features","omp","H100",1,0.002812,0.002812,1.359268,20008064.0,32.0
"atan2-cuda","atan2","Math","cuda","3080",3,5.09573,3.489381,5.110791,174656.0,3.0
"atan2-cuda","atan2","Math","cuda","A10",3,3.691769,2.537271,4.63823,240416.0,3.0
"atan2-cuda","atan2","Math","cuda","A100",3,9.241909,7.744743,7.177835,104587.0,2.0
"atan2-cuda","atan2","Math","cuda","H100",3,18.76441,14.082709,6.986126,54677.0,1.0
"atan2-omp","atan2","Math","omp","3080",3,5.009449,3.378481,5.089282,177664.0,3.0
"atan2-omp","atan2","Math","omp","A10",3,3.539836,2.461791,4.563225,247787.0,3.0
"atan2-omp","atan2","Math","omp","A100",3,7.767673,5.955383,6.867837,129845.0,2.0
"atan2-omp","atan2","Math","omp","H100",3,14.368406,10.850411,6.993178,72245.0,3.0
"atomicAggregate-cuda","atomicAggregate","Data compression and reduction","cuda","3080",1,0.0,0.0,0.0,1923339.0,36.0
"atomicAggregate-cuda","atomicAggregate","Data compression and reduction","cuda","A10",1,0.0,0.0,0.0,3017557.0,36.0
"atomicAggregate-cuda","atomicAggregate","Data compression and reduction","cuda","A100",1,0.033487,0.033487,18726.007812,2004203.0,41.0
"atomicAggregate-cuda","atomicAggregate","Data compression and reduction","cuda","H100",1,0.0,0.0,0.0,1230475.0,45.0
"atomicCAS-cuda","atomicCAS","Data compression and reduction","cuda","3080",3,0.0,0.0,0.0,236042.5,36.0
"atomicCAS-cuda","atomicCAS","Data compression and reduction","cuda","A10",3,0.0,0.0,0.0,537114.5,36.0
"atomicCAS-cuda","atomicCAS","Data compression and reduction","cuda","A100",3,0.0,0.0,0.0,1411120.0,49.0
"atomicCAS-cuda","atomicCAS","Data compression and reduction","cuda","H100",3,0.0,0.0,0.0,762651.0,45.0
"atomicCost-cuda","atomicCost","Data compression and reduction","cuda","3080",2,1.387599,0.0,0.0,3282538.5,13.0
"atomicCost-cuda","atomicCost","Data compression and reduction","cuda","A10",2,1.008718,0.0,0.0,5101685.5,12.0
"atomicCost-cuda","atomicCost","Data compression and reduction","cuda","A100",2,2.10097,0.0,0.0,1988640.0,14.0
"atomicCost-cuda","atomicCost","Data compression and reduction","cuda","H100",2,4.016462,0.0,0.0,1142437.5,15.0
"atomicCost-omp","atomicCost","Data compression and reduction","omp","3080",2,1.322444,0.0,0.0,3882555.0,10.0
"atomicCost-omp","atomicCost","Data compression and reduction","omp","A10",2,0.946585,0.0,0.0,5639445.0,10.0
"atomicCost-omp","atomicCost","Data compression and reduction","omp","A100",2,2.442515,0.599802,1.037963,2170341.5,9.0
"atomicCost-omp","atomicCost","Data compression and reduction","omp","H100",2,3.017884,0.412719,0.262888,1250384.0,11.0
"atomicIntrinsics-cuda","atomicIntrinsics","Data compression and reduction","cuda","3080",1,0.0,0.0,0.0,218170165.0,36.0
"atomicIntrinsics-cuda","atomicIntrinsics","Data compression and reduction","cuda","A10",1,0.0,0.0,0.0,409868032.0,36.0
"atomicIntrinsics-cuda","atomicIntrinsics","Data compression and reduction","cuda","A100",1,0.001577,0.001577,11936.476596,339779072.0,46.0
"atomicIntrinsics-cuda","atomicIntrinsics","Data compression and reduction","cuda","H100",1,0.002543,0.002543,135.13427,211532939.0,42.0
"atomicIntrinsics-omp","atomicIntrinsics","Data compression and reduction","omp","3080",5,0.0,0.0,0.0,2437888.0,27.0
"atomicIntrinsics-omp","atomicIntrinsics","Data compression and reduction","omp","A10",5,0.0,0.0,0.0,3725461.0,27.0
"atomicIntrinsics-omp","atomicIntrinsics","Data compression and reduction","omp","A100",5,0.265888,0.265298,18343.195292,2023691.0,25.0
"atomicIntrinsics-omp","atomicIntrinsics","Data compression and reduction","omp","H100",5,0.634158,0.633893,5368.266553,846965.0,20.0
"atomicPerf-cuda","atomicPerf","Data compression and reduction","cuda","3080",6,0.127323,0.0,0.0,135349.0,28.0
"atomicPerf-cuda","atomicPerf","Data compression and reduction","cuda","A10",6,0.082474,0.0,0.0,212229.5,27.0
"atomicPerf-cuda","atomicPerf","Data compression and reduction","cuda","A100",6,0.304346,0.065231,2104.223031,141930.5,29.0
"atomicPerf-cuda","atomicPerf","Data compression and reduction","cuda","H100",6,0.570363,0.053365,1514.952885,87749.5,26.0
"atomicPerf-omp","atomicPerf","Data compression and reduction","omp","3080",6,0.066576,0.0,0.0,180288.0,23.0
"atomicPerf-omp","atomicPerf","Data compression and reduction","omp","A10",6,0.043552,0.0,0.0,282475.0,23.0
"atomicPerf-omp","atomicPerf","Data compression and reduction","omp","A100",6,0.308627,0.032844,874.370182,188565.0,24.0
"atomicPerf-omp","atomicPerf","Data compression and reduction","omp","H100",6,0.537819,0.106417,496.164342,116512.0,21.0
"atomicReduction-cuda","atomicReduction","algorithms","cuda","3080",5,0.0,0.0,0.0,300821.0,36.0
"atomicReduction-cuda","atomicReduction","algorithms","cuda","A10",5,0.0,0.0,0.0,432608.0,36.0
"atomicReduction-cuda","atomicReduction","algorithms","cuda","A100",5,0.009079,0.001456,0.001234,191701.0,44.0
"atomicReduction-cuda","atomicReduction","algorithms","cuda","H100",5,0.020276,0.002412,0.001235,108619.0,40.0
"atomicReduction-omp","atomicReduction","algorithms","omp","3080",6,0.0,0.0,0.0,466219.0,27.0
"atomicReduction-omp","atomicReduction","algorithms","omp","A10",6,0.0,0.0,0.0,733402.5,27.0
"atomicReduction-omp","atomicReduction","algorithms","omp","A100",6,0.22749,0.000767,0.00185,636661.5,28.0
"atomicReduction-omp","atomicReduction","algorithms","omp","H100",6,0.007386,0.003094,0.005808,324298.5,31.0
"atomicSystemWide-cuda","atomicSystemWide","Data compression and reduction","cuda","3080",1,0.0,0.0,0.0,27838848.0,36.0
"atomicSystemWide-cuda","atomicSystemWide","Data compression and reduction","cuda","A10",1,0.0,0.0,0.0,50190421.0,36.0
"atomicSystemWide-cuda","atomicSystemWide","Data compression and reduction","cuda","A100",1,0.0,0.0,0.0,44818891.0,49.0
"atomicSystemWide-cuda","atomicSystemWide","Data compression and reduction","cuda","H100",1,0.0,0.0,0.0,26691115.0,45.0
"attention-cuda","attention","Machine learning","cuda","3080",3,0.269975,0.088083,0.496628,497152.0,23.0
"attention-cuda","attention","Machine learning","cuda","A10",3,0.184158,0.054179,0.404703,728832.0,22.0
"attention-cuda","attention","Machine learning","cuda","A100",3,0.17808,0.066103,0.495827,754069.0,35.0
"attention-cuda","attention","Machine learning","cuda","H100",3,0.256925,0.094659,0.495619,522539.0,33.0
"attentionMultiHead-cuda","attentionMultiHead","Machine learning","cuda","3080",1,0.060085,0.060085,0.662154,14027.0,34.0
"attentionMultiHead-cuda","attentionMultiHead","Machine learning","cuda","A10",1,0.039547,0.039547,0.448258,21312.0,34.0
"attentionMultiHead-cuda","attentionMultiHead","Machine learning","cuda","A100",1,0.051106,0.051106,0.829234,20384.0,40.0
"attentionMultiHead-cuda","attentionMultiHead","Machine learning","cuda","H100",1,0.051865,0.051865,0.82808,20085.0,38.0
"axhelm-cuda","axhelm","Simulation","cuda","3080",1,3.119003,3.119003,5.881511,462261.0,5.0
"axhelm-cuda","axhelm","Simulation","cuda","A10",1,2.024617,2.024617,4.82078,712128.0,6.0
"axhelm-cuda","axhelm","Simulation","cuda","A100",1,5.021897,5.021897,6.049857,287509.0,5.0
"axhelm-cuda","axhelm","Simulation","cuda","H100",1,10.333127,10.333127,6.067074,139531.0,5.0
"axhelm-omp","axhelm","Simulation","omp","3080",1,3.958061,3.958061,5.866345,364267.0,4.0
"axhelm-omp","axhelm","Simulation","omp","A10",1,2.702494,2.702494,5.096066,533504.0,4.0
"axhelm-omp","axhelm","Simulation","omp","A100",1,6.070675,6.070675,5.984221,238176.0,3.0
"axhelm-omp","axhelm","Simulation","omp","H100",1,10.37141,10.37141,6.026663,139019.0,4.0
"babelstream-cuda","babelstream","Bandwidth","cuda","3080",7,0.174402,0.057698,0.083476,580619.0,26.0
"babelstream-cuda","babelstream","Bandwidth","cuda","A10",7,0.119185,0.041542,0.075495,808043.0,26.0
"babelstream-cuda","babelstream","Bandwidth","cuda","A100",7,0.849141,0.584337,0.424608,287701.0,23.0
"babelstream-cuda","babelstream","Bandwidth","cuda","H100",7,0.572818,0.234091,0.085438,144427.0,25.0
"babelstream-omp","babelstream","Bandwidth","omp","3080",9,0.32642,0.056218,0.083355,596821.0,15.0
"babelstream-omp","babelstream","Bandwidth","omp","A10",9,0.216682,0.040554,0.074571,832021.0,15.0
"babelstream-omp","babelstream","Bandwidth","omp","A100",9,0.69396,0.55081,0.449714,312864.0,16.0
"babelstream-omp","babelstream","Bandwidth","omp","H100",9,1.405073,0.188171,0.085375,178507.0,16.0
"background-subtract-cuda","background-subtract","Computer vision and image processing","cuda","3080",1,0.061016,0.061016,0.505439,483499.0,33.0
"background-subtract-cuda","background-subtract","Computer vision and image processing","cuda","A10",1,0.039898,0.039898,0.432548,739424.0,33.0
"background-subtract-cuda","background-subtract","Computer vision and image processing","cuda","A100",1,0.289686,0.289686,0.590713,101835.0,31.0
"background-subtract-cuda","background-subtract","Computer vision and image processing","cuda","H100",1,0.510647,0.510647,0.628405,57771.0,27.0
"background-subtract-omp","background-subtract","Computer vision and image processing","omp","3080",1,0.05623,0.05623,0.503907,524619.0,24.0
"background-subtract-omp","background-subtract","Computer vision and image processing","omp","A10",1,0.036811,0.036811,0.385043,801440.0,24.0
"background-subtract-omp","background-subtract","Computer vision and image processing","omp","A100",1,0.169332,0.169332,0.58907,174219.0,30.0
"background-subtract-omp","background-subtract","Computer vision and image processing","omp","H100",1,0.285861,0.285861,0.619094,103200.0,23.0
"backprop-cuda","backprop","Machine learning","cuda","3080",2,0.184848,0.155776,0.32745,26336.0,25.0
"backprop-cuda","backprop","Machine learning","cuda","A10",2,0.135145,0.109977,0.295159,37557.5,25.0
"backprop-cuda","backprop","Machine learning","cuda","A100",2,0.707226,0.575612,1.284295,14864.0,25.0
"backprop-cuda","backprop","Machine learning","cuda","H100",2,0.682675,0.496588,0.611714,8800.0,24.0
"backprop-omp","backprop","Machine learning","omp","3080",1,0.051237,0.051237,0.351035,60117.0,25.0
"backprop-omp","backprop","Machine learning","omp","A10",1,0.033964,0.033964,0.31553,90677.0,25.0
"backprop-omp","backprop","Machine learning","omp","A100",1,0.259209,0.259209,1.536804,28064.0,27.0
"backprop-omp","backprop","Machine learning","omp","H100",1,0.18645,0.18645,0.653987,16608.0,27.0
"bfs-cuda","bfs","Search","cuda","3080",2,0.0,0.0,0.0,7979.0,36.0
"bfs-cuda","bfs","Search","cuda","A10",2,0.0,0.0,0.0,12187.0,36.0
"bfs-cuda","bfs","Search","cuda","A100",2,0.0,0.0,0.0,7888.0,49.0
"bfs-cuda","bfs","Search","cuda","H100",2,0.0,0.0,0.0,5248.0,45.0
"bfs-omp","bfs","Search","omp","3080",1,0.0,0.0,0.0,11387.0,27.0
"bfs-omp","bfs","Search","omp","A10",1,0.0,0.0,0.0,17499.0,27.0
"bfs-omp","bfs","Search","omp","A100",1,0.342787,0.342787,3.97952,11669.0,22.0
"bfs-omp","bfs","Search","omp","H100",1,0.0,0.0,0.0,8091.0,37.0
"bh-cuda","bh","Simulation","cuda","3080",9,0.013669,0.0,0.0,7669.0,35.0
"bh-cuda","bh","Simulation","cuda","A10",9,0.008467,0.0,0.0,12576.0,35.0
"bh-cuda","bh","Simulation","cuda","A100",9,0.014544,0.000241,0.356325,11179.0,43.0
"bh-cuda","bh","Simulation","cuda","H100",9,0.020036,0.000242,0.211395,9963.0,41.0
"bilateral-cuda","bilateral","Computer vision and image processing","cuda","3080",1,7.664604,7.371101,511.491915,2393968.0,1.0
"bilateral-cuda","bilateral","Computer vision and image processing","cuda","A10",1,4.982079,4.788759,378.635705,3686170.5,1.0
"bilateral-cuda","bilateral","Computer vision and image processing","cuda","A100",1,9.801034,9.445438,829.138104,2232320.0,1.0
"bilateral-cuda","bilateral","Computer vision and image processing","cuda","H100",1,17.834357,17.146058,863.044278,1140853.5,2.0
"bilateral-omp","bilateral","Computer vision and image processing","omp","3080",3,6.48659,6.281684,770.368116,4249984.0,2.0
"bilateral-omp","bilateral","Computer vision and image processing","omp","A10",3,4.226271,4.094747,605.188884,6519829.0,2.0
"bilateral-omp","bilateral","Computer vision and image processing","omp","A100",3,9.318012,9.232706,1356.891563,3829675.0,1.0
"bilateral-omp","bilateral","Computer vision and image processing","omp","H100",3,14.905083,14.760273,1276.446784,2005077.0,2.0
"bincount-cuda","bincount","Machine learning","cuda","3080",1,0.22223,0.130304,3.112435,1986101.5,24.0
"bincount-cuda","bincount","Machine learning","cuda","A10",1,0.14161,0.083038,2.611618,3115776.0,24.0
"bincount-cuda","bincount","Machine learning","cuda","A100",1,0.268335,0.150718,3.540215,2280773.5,33.0
"bincount-cuda","bincount","Machine learning","cuda","H100",1,0.33529,0.202898,3.542881,1399621.5,30.0
